        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 3.25000000e+01,        +1.414213562373e-01,        +2.593570271180e-01,        +2.657479655321e-02,        +1.752733051888e-02,        -5.929260632081e-02,        +1.414213562373e-01,        +1.752733051888e-02,        -5.929260632081e-02,        +2.599346080769e-01,        +2.589302327307e-02
 3.30000000e+01,        +1.414213562373e-01,        +2.604071396142e-01,        +2.506191564355e-02,        +1.631820145949e-02,        -5.833348016098e-02,        +1.414213562373e-01,        +1.631820145949e-02,        -5.833348016098e-02,        +2.609822273898e-01,        +2.435328578120e-02
 3.35000000e+01,        +1.414213562373e-01,        +2.614132735276e-01,        +2.353084219293e-02,        +1.514944244929e-02,        -5.735912143928e-02,        +1.414213562373e-01,        +1.514944244929e-02,        -5.735912143928e-02,        +2.619852539617e-01,        +2.279516816806e-02
 3.40000000e+01,        +1.414213562373e-01,        +2.623757422831e-01,        +2.198292391157e-02,        +1.402065650284e-02,        -5.637094523492e-02,        +1.414213562373e-01,        +1.402065650284e-02,        -5.637094523492e-02,        +2.629439986599e-01,        +2.122003002981e-02
 3.45000000e+01,        +1.414213562373e-01,        +2.632948853723e-01,        +2.041946030662e-02,        +1.293141772032e-02,        -5.537031918273e-02,        +1.414213562373e-01,        +1.293141772032e-02,        -5.537031918273e-02,        +2.638587985670e-01,        +1.962918244145e-02
 3.50000000e+01,        +1.414213562373e-01,        +2.641710658393e-01,        +1.884170361675e-02,        +1.188127370886e-02,        -5.435856441555e-02,        +1.414213562373e-01,        +1.188127370886e-02,        -5.435856441555e-02,        +2.647300144426e-01,        +1.802388889713e-02
 3.55000000e+01,        +1.414213562373e-01,        +2.650046679084e-01,        +1.725085979014e-02,        +1.086974785677e-02,        -5.333695654994e-02,        +1.414213562373e-01,        +1.086974785677e-02,        -5.333695654994e-02,        +2.655580283274e-01,        +1.640536629467e-02
 3.60000000e+01,        +1.414213562373e-01,        +2.657960947495e-01,        +1.564808949809e-02,        +9.896341466381e-03,        -5.230672670742e-02,        +1.414213562373e-01,        +9.896341466380e-03,        -5.230672670742e-02,        +2.663432412858e-01,        +1.477478595623e-02
 3.65000000e+01,        +1.414213562373e-01,        +2.665457663731e-01,        +1.403450917689e-02,        +8.960535751143e-03,        -5.126906256366e-02,        +1.414213562373e-01,        +8.960535751142e-03,        -5.126906256366e-02,        +2.670860712788e-01,        +1.313327467779e-02
 3.70000000e+01,        +1.414213562373e-01,        +2.672541176508e-01,        +1.241119209150e-02,        +8.061793702771e-03,        -5.022510941893e-02,        +1.414213562373e-01,        +8.061793702770e-03,        -5.022510941893e-02,        +2.677869511638e-01,        +1.148191580096e-02
 3.75000000e+01,        +1.414213562373e-01,        +2.679215964548e-01,        +1.077916941505e-02,        +7.199561833987e-03,        -4.917597128387e-02,        +1.414213562373e-01,        +7.199561833986e-03,        -4.917597128387e-02,        +2.684463268129e-01,        +9.821750301088e-03
 3.80000000e+01,        +1.414213562373e-01,        +2.685486619102e-01,        +9.139431318931e-03,        +6.373271802507e-03,        -4.812271197490e-02,        +1.414213562373e-01,        +6.373271802506e-03,        -4.812271197490e-02,        +2.690646553459e-01,        +8.153777886300e-03
 3.85000000e+01,        +1.414213562373e-01,        +2.691357827543e-01,        +7.492928068516e-03,        +5.582341921717e-03,        -4.706635621448e-02,        +1.414213562373e-01,        +5.582341921716e-03,        -4.706635621448e-02,        +2.696424034700e-01,        +6.478958102707e-03
 3.90000000e+01,        +1.414213562373e-01,        +2.696834357988e-01,        +5.840571120501e-03,        +4.826178563407e-03,        -4.600789073165e-02,        +1.414213562373e-01,        +4.826178563406e-03,        -4.600789073165e-02,        +2.701800459234e-01,        +4.798211441444e-03
 3.95000000e+01,        +1.414213562373e-01,        +2.701921044867e-01,        +4.183234217870e-03,        +4.104177457778e-03,        -4.494826535900e-02,        +1.414213562373e-01,        +4.104177457777e-03,        -4.494826535900e-02,        +2.706780640142e-01,        +3.112420443772e-03
 4.00000000e+01,        +1.414213562373e-01,        +2.706622775414e-01,        +2.521754479273e-03,        +3.415724895801e-03,        -4.388839412241e-02,        +1.414213562373e-01,        +3.415724895800e-03,        -4.388839412241e-02,        +2.711369442514e-01,        +1.422430800881e-03
