        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 2.95000000e+01,        +7.071067811865e+00,        +1.022678137707e+01,        +2.592758926342e+00,        +3.771524587246e+00,        -3.673775242950e+00,        +7.071067811865e+00,        +3.771524587246e+00,        -3.673775242950e+00,        +1.025501403911e+01,        +2.587980940424e+00
 3.00000000e+01,        +7.071067811865e+00,        +1.029412720620e+01,        +2.591614749678e+00,        +3.700628232645e+00,        -3.691244810135e+00,        +7.071067811865e+00,        +3.700628232645e+00,        -3.691244810135e+00,        +1.032296118820e+01,        +2.586145160563e+00
 3.05000000e+01,        +7.071067811865e+00,        +1.036133771166e+01,        +2.588961805645e+00,        +3.629806019500e+00,        -3.707233058721e+00,        +7.071067811865e+00,        +3.629806019500e+00,        -3.707233058721e+00,        +1.039076566216e+01,        +2.582778622257e+00
 3.10000000e+01,        +7.071067811865e+00,        +1.042838070289e+01,        +2.584812998333e+00,        +3.559089779713e+00,        -3.721753559419e+00,        +7.071067811865e+00,        +3.559089779713e+00,        -3.721753559419e+00,        +1.045839472774e+01,        +2.577894364658e+00
 3.15000000e+01,        +7.071067811865e+00,        +1.049522459141e+01,        +2.579181847118e+00,        +3.488510729523e+00,        -3.734820512780e+00,        +7.071067811865e+00,        +3.488510729523e+00,        -3.734820512780e+00,        +1.052581626040e+01,        +2.571506053925e+00
 3.20000000e+01,        +7.071067811865e+00,        +1.056183840139e+01,        +2.572082466248e+00,        +3.418099458253e+00,        -3.746448728376e+00,        +7.071067811865e+00,        +3.418099458253e+00,        -3.746448728376e+00,        +1.059299875514e+01,        +2.563627962475e+00
 3.25000000e+01,        +7.071067811865e+00,        +1.062819177955e+01,        +2.563529543989e+00,        +3.347885917838e+00,        -3.756653603578e+00,        +7.071067811865e+00,        +3.347885917838e+00,        -3.756653603578e+00,        +1.065991133658e+01,        +2.554274947782e+00
 3.30000000e+01,        +7.071067811865e+00,        +1.069425500427e+01,        +2.553538321407e+00,        +3.277899413124e+00,        -3.765451101968e+00,        +7.071067811865e+00,        +3.277899413124e+00,        -3.765451101968e+00,        +1.072652376837e+01,        +2.543462430811e+00
 3.35000000e+01,        +7.071067811865e+00,        +1.075999899392e+01,        +2.542124570844e+00,        +3.208168592984e+00,        -3.772857731483e+00,        +7.071067811865e+00,        +3.208168592984e+00,        -3.772857731483e+00,        +1.079280646165e+01,        +2.531206374130e+00
 3.40000000e+01,        +7.071067811865e+00,        +1.082539531437e+01,        +2.529304574152e+00,        +3.138721442253e+00,        -3.778890522319e+00,        +7.071067811865e+00,        +3.138721442253e+00,        -3.778890522319e+00,        +1.085873048279e+01,        +2.517523259796e+00
 3.45000000e+01,        +7.071067811865e+00,        +1.089041618575e+01,        +2.515095100755e+00,        +3.069585274477e+00,        -3.783567004690e+00,        +7.071067811865e+00,        +3.069585274477e+00,        -3.783567004690e+00,        +1.092426756030e+01,        +2.502430067046e+00
 3.50000000e+01,        +7.071067811865e+00,        +1.095503448834e+01,        +2.499513385584e+00,        +3.000786725499e+00,        -3.786905186465e+00,        +7.071067811865e+00,        +3.000786725499e+00,        -3.786905186465e+00,        +1.098939009086e+01,        +2.485944249876e+00
 3.55000000e+01,        +7.071067811865e+00,        +1.101922376767e+01,        +2.482577106956e+00,        +2.932351747851e+00,        -3.788923530768e+00,        +7.071067811865e+00,        +2.932351747851e+00,        -3.788923530768e+00,        +1.105407114459e+01,        +2.468083714549e+00
 3.60000000e+01,        +7.071067811865e+00,        +1.108295823887e+01,        +2.464304364424e+00,        +2.864305605968e+00,        -3.789640933564e+00,        +7.071067811865e+00,        +2.864305605968e+00,        -3.789640933564e+00,        +1.111828446947e+01,        +2.448866797088e+00
 3.65000000e+01,        +7.071067811865e+00,        +1.114621279017e+01,        +2.444713656675e+00,        +2.796672872195e+00,        -3.789076701296e+00,        +7.071067811865e+00,        +2.796672872195e+00,        -3.789076701296e+00,        +1.118200449497e+01,        +2.428312240811e+00
 3.70000000e+01,        +7.071067811865e+00,        +1.120896298565e+01,        +2.423823859497e+00,        +2.729477423580e+00,        -3.787250528611e+00,        +7.071067811865e+00,        +2.729477423580e+00,        -3.787250528611e+00,        +1.124520633486e+01,        +2.406439173935e+00
 3.75000000e+01,        +7.071067811865e+00,        +1.127118506723e+01,        +2.401654203867e+00,        +2.662742439437e+00,        -3.784182476216e+00,        +7.071067811865e+00,        +2.662742439437e+00,        -3.784182476216e+00,        +1.130786578932e+01,        +2.383267087311e+00
 3.80000000e+01,        +7.071067811865e+00,        +1.133285595593e+01,        +2.378224254199e+00,        +2.596490399655e+00,        -3.779892948898e+00,        +7.071067811865e+00,        +2.596490399655e+00,        -3.779892948898e+00,        +1.136995934616e+01,        +2.358815812318e+00
 3.85000000e+01,        +7.071067811865e+00,        +1.139395325236e+01,        +2.353553886781e+00,        +2.530743083733e+00,        -3.774402673757e+00,        +7.071067811865e+00,        +2.530743083733e+00,        -3.774402673757e+00,        +1.143146418145e+01,        +2.333105498949e+00
 3.90000000e+01,        +7.071067811865e+00,        +1.145445523658e+01,        +2.327663268443e+00,        +2.465521570526e+00,        -3.767732678660e+00,        +7.071067811865e+00,        +2.465521570526e+00,        -3.767732678660e+00,        +1.149235815935e+01,        +2.306156594137e+00
 3.95000000e+01,        +7.071067811865e+00,        +1.151434086723e+01,        +2.300572835475e+00,        +2.400846238668e+00,        -3.759904270969e+00,        +7.071067811865e+00,        +2.400846238668e+00,        -3.759904270969e+00,        +1.155261983125e+01,        +2.277989820331e+00
 4.00000000e+01,        +7.071067811865e+00,        +1.157358978003e+01,        +2.272303272828e+00,        +2.336736767657e+00,        -3.750939016555e+00,        +7.071067811865e+00,        +2.336736767657e+00,        -3.750939016555e+00,        +1.161222843425e+01,        +2.248626154370e+00
